,level_0,index,grid_index,OPCINA,Mjesna_zaj,WKT,area,Gross_floor_A_heated_m2,total_heat_demand_kWh_realni_2021_schedule,CO2_emissions_realni_2021_schedule,PM2.5_emissions_realni_2021_schedule,NOx_emissions_realni_2021_schedule,SO2_emissions_realni_2021_schedule,total_heat_demand_MWh_realni_2021_schedule,total_heat_demand_kWh/m2_realni_2021_schedule
30,30,30,13737,TRNOVO,Šabići,"POLYGON ((2029191.7263781778 5409595.850859159, 2029191.7263781778 5409795.850859159, 2029391.7263781778 5409795.850859159, 2029391.7263781778 5409595.850859159, 2029191.7263781778 5409595.850859159))",40000.0,617.4675895521643,128919.41902652981,0.03813158225942936,0.00015819643875748877,6.96941042443652e-05,0.0003130168815299815,128.91941902652982,208.7873456160383
31,31,31,13739,TRNOVO,Šabići,"POLYGON ((2029591.7263781778 5409595.850859159, 2029591.7263781778 5409795.850859159, 2029791.7263781778 5409795.850859159, 2029791.7263781778 5409595.850859159, 2029591.7263781778 5409595.850859159))",40000.0,128.93274902061555,23131.874492879957,0.010710636685203154,3.561486935500652e-05,1.8407963307373318e-05,9.012546845575384e-05,23.131874492879955,179.4103877299732
32,32,32,13750,TRNOVO,Šabići,"POLYGON ((2031791.7263781778 5409595.850859159, 2031791.7263781778 5409795.850859159, 2031991.7263781778 5409795.850859159, 2031991.7263781778 5409595.850859159, 2031791.7263781778 5409595.850859159))",40000.0,214.6199197534623,38222.818798292996,0.01194636178718185,7.056576962135625e-05,2.4616408825698012e-05,9.281921664251077e-05,38.222818798293,178.09539227393347
33,33,33,13751,TRNOVO,Šabići,"POLYGON ((2031991.7263781778 5409595.850859159, 2031991.7263781778 5409795.850859159, 2032191.7263781778 5409795.850859159, 2032191.7263781778 5409595.850859159, 2031991.7263781778 5409595.850859159))",40000.0,78.0185353612521,18258.12898090577,0.0006868857670336588,2.324402202840424e-05,3.956434542683192e-06,5.440094061760555e-07,18.258128980905774,234.0229651372521
34,34,34,14083,TRNOVO,Šabići,"POLYGON ((2028591.7263781778 5409795.850859159, 2028591.7263781778 5409995.850859159, 2028791.7263781778 5409995.850859159, 2028791.7263781778 5409795.850859159, 2028591.7263781778 5409795.850859159))",40000.0,32.47012579373439,11841.108342621268,0.0008194538645412645,2.7730089328994313e-05,4.7200214816031e-06,6.490025439934941e-07,11.841108342621268,364.67700857833427
35,35,35,14435,TRNOVO,Šabići,"POLYGON ((2029191.7263781778 5409995.850859159, 2029191.7263781778 5410195.850859159, 2029391.7263781778 5410195.850859159, 2029391.7263781778 5409995.850859159, 2029191.7263781778 5409995.850859159))",40000.0,1251.0739601776456,236253.80201140413,0.04078704304717129,0.0004823923942591366,0.0001160245411696826,0.0002565824831477871,236.2538020114041,188.84079561360016
36,36,36,14436,TRNOVO,Šabići,"POLYGON ((2029391.7263781778 5409995.850859159, 2029391.7263781778 5410195.850859159, 2029591.7263781778 5410195.850859159, 2029591.7263781778 5409995.850859159, 2029391.7263781778 5409995.850859159))",40000.0,428.63705200023156,93054.26634424194,0.014514720180455474,0.00020147050092767538,4.523631044558058e-05,8.386401418342254e-05,93.05426634424195,217.09337984200133
37,37,37,18347,TRNOVO,Dejčići,"POLYGON ((2043791.7263781778 5412195.850859159, 2043791.7263781778 5412395.850859159, 2043991.7263781778 5412395.850859159, 2043991.7263781778 5412195.850859159, 2043791.7263781778 5412195.850859159))",40000.0,496.5496504644207,44187.824560003646,0.018194986583530914,7.018001271552696e-07,2.3393359232540634e-05,3.275071592197588e-05,44.18782456000365,88.98974053989357
38,38,38,18642,TRNOVO,Šabići,"POLYGON ((2032991.7263781778 5412395.850859159, 2032991.7263781778 5412595.850859159, 2033191.7263781778 5412595.850859159, 2033191.7263781778 5412395.850859159, 2032991.7263781778 5412395.850859159))",40000.0,75.64701846079659,15305.42357019348,0.004030497738672762,2.9790523048848626e-05,9.097512882061285e-06,2.9821089008574313e-05,15.30542357019348,202.32685810512655
39,39,39,18643,TRNOVO,Šabići,"POLYGON ((2033191.7263781778 5412395.850859159, 2033191.7263781778 5412595.850859159, 2033391.7263781778 5412595.850859159, 2033391.7263781778 5412395.850859159, 2033191.7263781778 5412395.850859159))",40000.0,557.7182164988346,78177.03478101322,0.019921291875385435,6.703509272407807e-05,3.438459689258243e-05,3.3881886310008665e-05,78.17703478101323,140.17299860094596
